% Daily open value of the Dow Jones Industrial (DJI) Average 
%                  from 1/1/14 to 2/17/19
%
%   Normalized        Open 
%      Time           Value                
%
%      (x)              (y)
%
   5.2598914e-01   1.8028949e+04
   5.2676493e-01   1.8262990e+04
   5.2754073e-01   1.8073391e+04
   5.2831652e-01   1.8024910e+04
   5.2909232e-01   1.8217211e+04
   5.2986811e-01   1.8154820e+04
   5.3064391e-01   1.8175359e+04
   5.3141971e-01   1.8164961e+04
   5.3219550e-01   1.8343760e+04
   5.3297130e-01   1.8377359e+04
   5.3374709e-01   1.8217760e+04
   5.3452289e-01   1.8099211e+04
   5.3529868e-01   1.8240221e+04
   5.3607448e-01   1.8322881e+04
   5.3685027e-01   1.8181801e+04
   5.3762607e-01   1.8279600e+04
   5.3840186e-01   1.8267680e+04
   5.3917766e-01   1.8205500e+04
   5.3995345e-01   1.8280420e+04
   5.4072925e-01   1.8295350e+04
   5.4150504e-01   1.8282949e+04
   5.4228084e-01   1.8308430e+04
   5.4305663e-01   1.8132631e+04
   5.4383243e-01   1.8088320e+04
   5.4460822e-01   1.8177350e+04
   5.4538402e-01   1.8135850e+04
   5.4615981e-01   1.8145061e+04
   5.4693561e-01   1.8178211e+04
   5.4771140e-01   1.8161869e+04
   5.4848720e-01   1.8152631e+04
   5.4926299e-01   1.8197141e+04
   5.5003879e-01   1.8206520e+04
   5.5081458e-01   1.8103801e+04
   5.5159038e-01   1.8234811e+04
   5.5236618e-01   1.8193789e+04
   5.5314197e-01   1.8176600e+04
   5.5391777e-01   1.8158240e+04
